地域コード,都道府県,市区町村,総人口,総人口（男）,総人口（女）,日本人人口,日本人人口（男）,日本人人口（女）,15歳未満人口,15歳未満人口（男）,15歳未満人口（女）,15〜64歳人口,15〜64歳人口（男）,15〜64歳人口（女）,65歳以上人口,65歳以上人口（男）,65歳以上人口（女）,75歳以上人口,75歳以上人口（男）,75歳以上人口（女）,外国人人口,出生数,死亡数,転入者数（日本人移動者）,転出者数（日本人移動者）,世帯数,一般世帯数,一般世帯人員数,核家族世帯数,単独世帯数,65歳以上の世帯員のいる核家族世帯数,夫65歳以上、妻60歳以上の夫婦のみの世帯数,65歳以上世帯員の単独世帯数,婚姻件数,離婚件数,総面積（北方地域及び竹島を除く）,可住地面積,事業所数（民営）,事業所数（民営）（農業、林業）,事業所数（民営）（漁業）,事業所数（民営）（鉱業、採石業、砂利採取業）,事業所数（民営）（建設業）,事業所数（民営）（製造業）,事業所数（民営）（電気・ガス・熱供給・水道業）,事業所数（民営）（情報通信業）,事業所数（民営）（運輸業、郵便業）,事業所数（民営）（卸売業、小売業）,事業所数（民営）（金融業、保険業）,事業所数（民営）（不動産業、物品賃貸業）,事業所数（民営）（学術研究、専門・技術サービス業）,事業所数（民営）（宿泊業、飲食サービス業）,事業所数（民営）（生活関連サービス業、娯楽業）,事業所数（民営）（教育、学習支援業）,事業所数（民営）（医療、福祉）,事業所数（民営）（複合サービス事業）,事業所数（民営）（サービス業（他に分類されないもの））,従業者数（民営）,従業者数（民営）（農業、林業）,従業者数（民営）（漁業）,従業者数（民営）（鉱業、採石業、砂利採取業）,従業者数（民営）（建設業）,従業者数（民営）（製造業）,従業者数（民営）（電気・ガス・熱供給・水道業）,従業者数（民営）（情報通信業）,従業者数（民営）（運輸業、郵便業）,従業者数（民営）（卸売業、小売業）,従業者数（民営）（金融業、保険業）,従業者数（民営）（不動産業、物品賃貸業）,従業者数（民営）（学術研究、専門・技術サービス業）,従業者数（民営）（宿泊業、飲食サービス業）,従業者数（民営）（生活関連サービス業、娯楽業）,従業者数（民営）（教育、学習支援業）,従業者数（民営）（医療、福祉）,従業者数（民営）（複合サービス事業）,従業者数（民営）（サービス業（他に分類されないもの））,農家数（販売農家）,農家数（自給的農家）,一般行政部門職員数（市区町村）,経常収支比率（市町村財政）,実質公債費比率（市町村財政）,歳入決算総額（市町村財政）,地方税（市町村財政）,歳出決算総額（市町村財政）,民生費（市町村財政）,土木費（市町村財政）,教育費（市町村財政）,災害復旧費（市町村財政）,幼稚園数,幼稚園在園者数,小学校数,小学校教員数,小学校児童数,中学校数,中学校教員数,中学校生徒数,義務教育学校数,義務教育学校教員数,義務教育学校前期課程児童数,義務教育学校後期課程生徒数,高等学校数,高等学校生徒数,就業者数,就業者数（男）,就業者数（女）,完全失業者数,完全失業者数（男）,完全失業者数（女）,非労働力人口,非労働力人口（男）,非労働力人口（女）,第１次産業就業者数,第２次産業就業者数,第３次産業就業者数,公民館数,図書館数,総人口（非水洗化人口＋水洗化人口）,非水洗化人口,小売店数,飲食店数,大型小売店数,一般病院数,一般診療所数,歯科診療所数,医師数,歯科医師数,薬剤師数,保育所等数（基本票）
R30427,和歌山県,北山村,404,183,221,404,183,221,40,14,26,182,103,79,182,66,116,128,35,93,0,2,4,8,11,223,222,391,104,111,52,36,72,0,0,4820,374,38,2,0,0,9,2,0,0,0,7,0,1,0,4,4,0,1,2,6,193,9,0,0,53,2,0,0,0,33,0,1,0,23,24,0,27,10,11,4,13,18,83.2,6.3,2287914,79298,2209159,233449,119309,63642,0,0,0,1,10,26,1,6,8,0,0,0,0,0,0,176,102,74,5,3,2,180,63,117,23,34,117,0,0,412,50,6,2,0,0,1,0,1,0,0,0
R30428,和歌山県,串本町,14959,7140,7819,14820,7074,7746,1238,663,575,6677,3446,3231,6930,2953,3977,3738,1423,2315,59,43,349,286,383,7398,7354,14393,3907,3001,2354,1389,1913,28,23,13567,2216,911,5,13,0,88,39,2,3,12,248,14,31,22,124,132,16,80,16,66,4705,78,143,0,336,225,10,3,150,1163,104,85,50,561,282,100,995,166,254,72,150,138,90.3,11.2,13165865,1428654,12722342,3645517,720969,842596,319967,1,35,9,96,502,4,46,222,0,0,0,0,1,229,6293,3488,2805,399,290,109,6752,2534,4218,501,804,4898,17,1,14792,2184,219,90,2,3,16,6,30,8,26,2
R31201,鳥取県,鳥取市,188465,91356,97109,185241,89741,95500,23684,12179,11505,106218,53662,52556,54990,23291,31699,27845,10090,17755,1306,1290,2370,3639,4454,77029,76800,182635,39713,26983,17446,8220,8223,715,249,76531,21214,8537,96,6,2,722,506,14,108,142,2011,205,535,383,1003,831,278,825,98,771,84361,774,60,7,5744,11546,671,1799,3387,16642,2912,1671,2129,7083,3750,4163,14271,715,7033,3299,2378,1123,85.6,8.9,124172132,23828717,120402245,39683986,6832698,10918412,451657,9,475,40,779,9178,16,420,4716,4,102,509,235,10,5069,89928,47528,42400,3285,2177,1108,56216,21208,35008,4258,18149,63908,62,4,183590,4969,1515,830,24,10,150,99,580,141,465,51
R31202,鳥取県,米子市,147317,69740,77577,143338,68075,75263,19171,9758,9413,82094,40531,41563,42337,17630,24707,22167,8268,13899,1170,1178,1897,4335,4611,62134,61991,142908,32661,22306,13546,6769,7361,688,246,13242,9897,6545,31,2,0,585,285,10,74,133,1702,149,370,300,829,688,214,667,54,452,69078,270,26,0,5133,7045,146,1055,4929,14007,1790,1471,1830,6566,2477,2737,14049,949,4598,1376,1063,778,87.1,8,82701245,18559015,80495732,31984325,6329995,5207085,12567,8,972,23,566,7804,13,353,4038,0,0,0,0,9,4725,69194,36239,32955,2514,1540,974,42402,15182,27220,2204,13580,51308,30,1,146289,9441,1182,679,28,11,168,76,892,121,433,47
R31203,鳥取県,倉吉市,46485,21840,24645,45956,21593,24363,5723,3007,2716,24287,11922,12365,16034,6641,9393,8530,3048,5482,303,301,735,1136,1400,18309,18214,43982,9697,5901,4803,2330,2686,147,61,27206,8883,2762,33,4,1,238,156,7,19,31,701,54,143,108,407,280,87,262,23,208,23246,369,12,2,1838,4108,72,132,639,4687,552,378,710,2039,801,751,4719,315,1122,1299,958,311,86.4,10,32469845,5526278,31081464,11085130,2380315,2107829,539086,0,0,12,227,2268,5,122,1129,0,0,0,0,5,1835,22662,11805,10857,870,563,307,15614,5605,10009,2111,5069,14907,13,2,45116,3097,573,345,6,8,51,28,189,38,155,25
R31204,鳥取県,境港市,32740,15775,16965,32151,15594,16557,3912,2031,1881,17948,9161,8787,10736,4504,6232,5669,2087,3582,482,196,460,1020,1061,13128,13084,31520,7609,3889,3710,1774,1816,98,54,2911,2678,1404,6,17,0,103,126,2,9,66,437,19,35,46,162,135,34,99,14,94,13512,100,510,0,667,3321,14,55,1244,3296,174,101,189,782,339,150,1728,123,719,65,166,209,83.8,10.8,21785284,3967307,20852589,6702389,1700618,3650906,0,1,67,6,129,1610,3,70,812,0,0,0,0,2,869,16043,8722,7321,619,384,235,10593,3804,6789,557,3984,11161,7,1,33086,2276,325,140,6,2,28,12,65,22,48,11
R31302,鳥取県,岩美町,10799,5178,5621,10718,5138,5580,1143,610,533,5598,2845,2753,4053,1721,2332,2098,764,1334,76,67,206,265,271,3926,3912,10496,2210,926,1293,590,556,27,4,12231,2289,346,12,17,0,27,32,0,0,8,84,5,2,2,44,35,6,27,9,36,2759,74,165,0,245,891,0,0,117,435,26,7,2,169,93,11,348,73,103,296,268,123,83.1,10.1,7917888,1042920,7745065,2310896,608929,524024,958,0,0,3,51,463,1,24,236,0,0,0,0,1,178,5075,2711,2364,269,188,81,4166,1593,2573,524,1295,3244,10,1,11048,373,70,18,0,1,5,3,11,4,7,3
R31325,鳥取県,若桜町,2864,1355,1509,2834,1351,1483,191,107,84,1279,659,620,1393,588,805,831,303,528,30,11,66,40,72,1182,1180,2788,615,369,449,229,259,5,2,19918,1372,154,7,0,0,11,22,0,0,2,46,5,4,1,13,10,4,11,3,15,838,23,0,0,63,254,0,0,40,139,17,10,1,72,21,6,136,24,32,122,135,63,84.2,7.2,4217149,231962,3970517,762644,385568,361377,19655,0,0,1,13,70,1,13,36,0,0,0,0,0,0,1379,743,636,38,25,13,1237,469,768,170,362,833,2,1,2868,92,43,8,0,0,3,2,3,3,4,1
R31328,鳥取県,智頭町,6427,3005,3422,6359,2989,3370,621,318,303,3005,1519,1486,2801,1168,1633,1584,539,1045,68,18,125,116,154,2400,2395,6257,1159,662,780,365,424,17,4,22470,1717,294,14,0,0,35,42,0,0,9,73,5,6,4,22,23,5,18,7,31,1992,113,0,0,209,618,0,0,107,369,26,24,9,90,39,18,236,45,89,288,369,112,91.3,11.3,7374209,668293,7200509,1522855,568240,442601,4476,0,0,1,24,258,1,19,116,0,0,0,0,1,86,3064,1612,1452,107,76,31,2602,978,1624,302,1020,1722,8,1,6466,666,69,18,0,1,4,2,11,2,6,1
R31329,鳥取県,八頭町,15937,7611,8326,15868,7603,8265,1853,949,904,8289,4135,4154,5792,2525,3267,2949,1072,1877,69,96,282,267,384,5326,5315,15578,2939,996,1645,704,651,33,18,20671,4137,514,19,1,0,68,47,1,8,8,123,5,15,14,27,54,11,58,18,37,3288,213,3,0,450,502,2,45,102,674,67,31,28,87,108,27,761,104,84,857,630,171,86.3,9.2,13434890,1350173,12308468,3642802,1180046,1645295,113250,0,0,4,74,739,1,33,385,0,0,0,0,1,717,8491,4447,4044,303,207,96,5045,1877,3168,1199,1976,4972,10,3,16190,457,105,20,1,0,14,7,11,13,11,5
R31364,鳥取県,三朝町,6060,2875,3185,5995,2849,3146,676,352,324,2962,1502,1460,2408,1015,1393,1307,468,839,61,23,131,100,124,2230,2222,5901,1124,601,676,314,368,7,1,23352,2687,193,4,0,0,12,8,0,0,4,41,3,15,4,42,15,5,17,6,17,1919,18,0,0,55,205,0,0,26,194,10,28,12,661,41,77,501,33,58,319,251,66,79,7.9,5884455,616417,5696944,1309041,297950,620615,244161,0,0,1,25,282,1,22,157,0,0,0,0,0,0,3030,1631,1399,76,51,25,2210,807,1403,353,576,2015,2,1,6086,166,34,18,0,1,3,2,12,2,8,3
R31370,鳥取県,湯梨浜町,16055,7657,8398,15955,7636,8319,2264,1158,1106,8602,4253,4349,5139,2220,2919,2578,936,1642,91,146,313,426,440,5682,5659,15587,3208,1299,1487,698,746,53,25,7793,3421,528,8,3,0,67,34,5,1,7,140,9,27,11,57,51,20,40,8,40,3808,66,15,0,353,521,38,2,104,801,52,91,41,422,194,94,752,53,209,557,433,142,85.3,7.6,11140932,1461505,10759547,3551232,919182,1579083,228388,0,0,3,82,909,2,48,524,0,0,0,0,1,74,8287,4313,3974,269,175,94,4893,1836,3057,1017,1716,5464,3,1,16570,270,121,30,0,0,11,5,9,4,11,9
R31371,鳥取県,琴浦町,16365,7682,8683,16166,7630,8536,1979,976,1003,8356,4147,4209,6028,2558,3470,3321,1230,2091,199,94,278,313,381,5769,5751,15945,3001,1374,1710,780,772,44,24,13997,5245,656,30,1,0,74,41,0,2,17,174,9,26,24,59,69,12,53,12,53,5980,204,10,0,740,2084,0,26,202,1044,68,57,72,237,162,67,681,83,243,928,409,152,89.1,13.7,12539569,1700469,11891321,3634930,803884,960060,282228,0,0,5,88,789,2,48,436,0,0,0,0,0,0,8598,4511,4087,284,186,98,5339,1919,3420,1627,2093,4807,9,2,16488,2310,147,52,0,0,13,6,12,8,18,7
R31372,鳥取県,北栄町,14228,6818,7410,14121,6792,7329,1793,950,843,7352,3691,3661,5060,2161,2899,2504,943,1561,104,87,216,302,356,4987,4975,13948,2767,1066,1520,681,645,36,18,5694,4255,520,20,0,1,73,47,5,3,22,129,7,17,15,24,46,15,41,7,48,4058,196,0,3,431,730,19,13,313,756,93,82,40,94,123,97,622,55,391,701,344,131,83.4,10.4,11347035,1415310,10808344,3033425,1499137,986726,103672,0,0,2,56,781,2,47,395,0,0,0,0,1,224,7730,4024,3706,220,149,71,4278,1586,2692,1656,1572,4261,2,1,14534,539,99,18,0,0,3,3,5,5,2,6
R31384,鳥取県,日吉津村,3501,1628,1873,3448,1612,1836,507,246,261,1979,974,1005,986,397,589,497,180,317,32,31,45,172,134,1243,1240,3433,686,300,264,122,112,16,5,420,413,263,2,1,0,29,10,0,1,1,117,2,11,7,29,18,6,13,3,13,2381,19,4,0,241,173,0,0,45,1082,8,33,60,308,115,11,204,12,66,93,55,44,75.2,11.6,3515529,895176,3387875,1423578,118670,256494,0,0,0,1,24,237,0,0,0,0,0,0,0,0,0,1813,968,845,54,18,36,957,315,642,126,389,1244,1,1,3615,42,108,23,2,0,4,1,5,3,17,1
R31386,鳥取県,大山町,15370,7390,7980,15251,7343,7908,1684,868,816,7491,3852,3639,6195,2670,3525,3295,1236,2059,119,66,317,282,341,5247,5225,14824,2774,1148,1747,785,732,30,17,18974,7915,482,34,1,0,48,35,1,3,11,108,3,8,10,66,44,12,33,17,48,3890,246,1,0,353,943,9,10,192,546,27,40,68,292,158,40,751,98,116,1353,629,156,87.9,10.1,13013763,1575474,12168629,3171159,851111,919124,70241,0,0,4,71,737,3,47,330,0,0,0,0,0,0,8232,4458,3774,311,212,99,5138,1848,3290,1956,1611,4641,6,3,15366,1053,92,28,0,0,11,5,11,6,12,5
R31389,鳥取県,南部町,10323,4925,5398,10228,4883,5345,1179,588,591,5261,2657,2604,3879,1677,2202,1976,766,1210,92,51,151,268,254,3548,3531,10019,1869,775,1079,522,465,14,15,11403,2821,247,8,0,0,34,19,0,3,6,47,3,1,10,21,25,8,29,7,26,2972,112,0,0,259,1135,0,15,56,287,10,3,21,111,84,155,546,41,137,600,321,108,86.8,10.1,8652329,1003307,8278156,2433321,317669,568591,217695,0,0,3,47,484,2,32,253,0,0,0,0,0,0,5350,2875,2475,177,116,61,3482,1272,2210,587,1369,3268,2,2,10380,1204,42,14,1,1,5,1,24,2,14,4
R31390,鳥取県,伯耆町,10696,5051,5645,10636,5032,5604,1282,633,649,5148,2578,2570,4243,1831,2412,2260,840,1420,47,58,185,255,268,3648,3637,10214,2032,757,1181,583,478,29,16,13944,4253,297,16,0,1,26,22,1,3,9,69,3,7,10,39,29,5,28,8,21,2800,106,0,8,179,346,1,19,72,536,39,69,43,304,235,10,656,45,132,746,293,104,83.5,6.7,8417337,1278040,7834799,2300136,449437,684329,15202,0,0,4,64,504,2,34,286,0,0,0,0,0,0,5469,2935,2534,182,114,68,3585,1272,2313,873,1050,3495,4,2,10447,1666,63,12,1,2,6,3,16,4,18,5
R31401,鳥取県,日南町,4196,1982,2214,4168,1964,2204,296,153,143,1708,940,768,2190,887,1303,1380,480,900,28,16,109,72,123,1791,1785,4069,811,626,611,333,424,2,1,34096,3601,238,32,0,0,32,9,1,0,9,52,2,6,5,18,22,2,10,13,25,1384,238,0,0,269,116,2,0,56,245,8,23,17,57,37,16,177,60,63,473,179,74,89.8,6.8,7819028,471045,7524667,1092466,609717,383722,157670,0,0,1,13,119,1,16,55,0,0,0,0,0,0,2151,1225,926,50,40,10,1690,558,1132,678,373,1085,0,1,4189,688,46,11,0,1,1,1,7,2,6,1
R31402,鳥取県,日野町,2907,1323,1584,2884,1322,1562,183,84,99,1253,650,603,1471,589,882,868,299,569,23,10,77,63,102,1210,1204,2745,561,422,405,201,267,7,2,13398,1387,157,6,0,1,18,12,0,0,4,44,3,4,3,16,17,2,9,4,14,868,63,0,13,108,74,0,0,23,191,18,7,16,63,25,4,211,25,27,199,171,53,77.8,6,4391294,347069,4268491,694641,308167,314011,24235,0,0,0,0,0,0,0,0,1,26,74,37,1,91,1437,787,650,43,34,9,1232,413,819,224,309,872,1,1,2804,433,37,13,0,1,2,2,12,2,7,1
R31403,鳥取県,江府町,2672,1241,1431,2662,1240,1422,189,93,96,1172,605,567,1311,543,768,816,301,515,10,13,68,49,78,953,949,2544,445,241,324,164,185,13,1,12452,2237,105,5,0,0,15,14,0,0,7,18,1,1,3,9,6,0,13,3,10,921,31,0,0,130,192,0,0,161,83,5,3,18,57,7,0,189,22,23,340,143,64,80.9,13.5,4905633,733655,4456665,914890,606852,366137,12859,0,0,0,0,0,0,0,0,1,25,86,36,0,0,1420,776,644,35,30,5,1022,339,683,291,284,800,1,1,2621,241,17,3,0,0,3,0,3,1,1,1
R32201,島根県,松江市,203616,98544,105072,198573,95843,102730,25931,13359,12572,113547,57385,56162,59498,25123,34375,31598,11673,19925,1336,1409,2668,5343,6009,85593,85329,195979,44549,31422,19078,9962,9384,777,264,57299,16003,9425,52,16,1,844,459,17,131,159,2347,214,606,487,1018,840,334,919,81,900,96193,531,259,13,8009,7681,844,2439,3717,19521,3683,2583,2906,8295,3421,3279,16240,673,12099,1622,2013,1230,90,10.4,111124775,28452417,107859245,43507002,8399946,9965791,943631,31,912,32,689,9718,17,425,4881,3,120,1046,629,12,5596,97465,51962,45503,2867,1747,1120,61844,23131,38713,3183,17464,74164,29,4,198231,5615,1632,826,35,8,224,78,631,133,460,81
R32202,島根県,浜田市,54592,27298,27294,53624,26919,26705,5940,3024,2916,28524,15611,12913,19445,8160,11285,10545,3822,6723,651,281,977,1444,1839,24370,23821,51063,12103,9361,6160,3428,3849,164,66,69064,11658,2938,53,8,1,286,179,12,18,89,716,66,145,110,295,293,66,278,47,276,25045,538,161,8,2233,3073,230,123,1473,4955,621,357,694,1823,1255,507,5042,328,1624,1062,948,385,88.9,10.9,42372365,7327947,40962909,12651028,2439297,2527309,427300,3,59,16,237,2341,9,157,1227,0,0,0,0,3,961,27156,15092,12064,763,488,275,18892,7544,11348,1588,5809,19329,0,6,50129,13609,525,218,5,3,62,22,172,30,124,27
R32203,島根県,出雲市,172775,83469,89306,166846,80284,86562,23315,11956,11359,95332,47887,47445,51944,22402,29542,27198,10293,16905,4158,1302,2321,3992,3846,64408,64211,168073,33316,18810,14650,7042,5913,652,226,62432,22856,7658,136,7,6,821,511,15,48,140,2005,96,356,336,754,755,219,711,115,627,80756,1716,100,50,6480,15959,191,568,2552,15632,1361,1347,2087,5111,2684,1825,13284,985,8824,2487,3074,770,82.6,12.6,101138632,22931297,98574182,32937356,8176537,8951941,1348882,25,810,34,686,9705,16,414,4842,0,0,0,0,8,4295,88715,47379,41336,2382,1481,901,48954,17703,31251,4553,24220,56390,0,7,174341,24410,1598,615,22,9,167,62,842,111,450,57
R32204,島根県,益田市,45003,21355,23648,44089,20959,23130,5284,2751,2533,21988,11045,10943,17017,7181,9836,8997,3290,5707,347,242,731,1048,1212,18870,18805,43208,10314,6135,5430,3172,3126,116,61,73319,9960,2351,57,4,5,237,131,10,10,49,579,42,102,117,270,234,54,219,44,187,19524,638,30,27,1859,2489,94,71,819,4232,340,277,612,1286,708,415,3960,318,1349,810,917,338,86.4,11.5,30969600,5384349,28936387,10260476,2123790,2964734,185092,5,62,15,225,2147,9,155,1165,0,0,0,0,4,1428,21270,11275,9995,669,433,236,15685,5799,9886,1590,4322,14886,21,2,44489,12036,439,214,6,2,52,25,133,33,124,29
R32205,島根県,大田市,32846,15742,17104,32347,15516,16831,3655,1944,1711,15778,8042,7736,13264,5677,7587,7284,2650,4634,338,163,631,684,814,13343,13296,31687,7325,4054,4253,2279,2337,85,37,43534,9917,1749,33,11,5,181,124,2,7,48,438,27,82,71,156,149,40,143,36,196,12435,416,85,27,1217,1986,9,58,474,2636,228,191,202,766,473,156,2434,274,803,827,802,291,90.6,12.1,28932284,3756828,27947404,8442771,1765327,1747914,542186,1,20,15,174,1483,6,93,784,0,0,0,0,2,628,15840,8615,7225,498,339,159,12266,4521,7745,1404,4191,10156,7,3,32891,11518,347,121,4,1,36,12,71,17,60,18
R32206,島根県,安来市,37062,17743,19319,36697,17609,19088,4277,2204,2073,18817,9609,9208,13835,5866,7969,7521,2806,4715,262,165,649,717,865,12835,12798,35880,6690,3036,3763,1789,1545,90,38,42093,9813,1541,42,0,1,172,145,1,3,41,379,17,60,56,130,142,35,133,30,154,15547,580,0,6,1130,5417,1,18,1016,2109,144,219,224,720,356,264,2559,175,609,1640,761,329,90.1,14.7,27895999,5043723,26877734,7702007,2113851,2665965,452389,4,32,17,203,1689,5,102,945,0,0,0,0,2,668,19181,10263,8918,538,357,181,12131,4466,7665,1882,5611,11123,27,1,36552,4816,307,100,3,2,32,9,72,6,59,19
R32207,島根県,江津市,22959,10890,12069,22650,10779,11871,2403,1199,1204,11467,5879,5588,9008,3744,5264,4901,1695,3206,282,109,411,558,684,9953,9894,21737,5351,3501,2952,1698,1994,53,31,26824,5637,1201,19,2,6,102,93,6,5,33,294,17,62,52,126,112,31,107,23,111,9086,181,17,32,858,1740,55,28,398,1650,155,150,149,488,286,202,2102,86,509,234,429,209,89.7,12,18637775,2837031,17840449,5745798,1229891,1012149,371907,0,0,7,110,966,4,64,456,0,0,0,0,4,868,10832,5787,5045,322,222,100,8970,3426,5544,455,2712,7520,0,2,22254,6019,244,97,2,2,27,7,41,12,39,10
R32209,島根県,雲南市,36007,17316,18691,35771,17249,18522,4041,2082,1959,17487,8875,8612,14422,6325,8097,7878,2985,4893,212,159,650,714,839,12432,12391,35021,6219,2810,3773,1789,1620,82,31,55318,11235,1727,50,1,0,269,157,4,7,30,432,21,46,63,101,160,29,134,32,191,13801,614,12,0,1396,3517,11,16,406,2765,206,171,165,514,502,132,2394,153,827,1791,1465,388,94.3,11.1,32829573,3921900,32132436,7963567,2449437,2844700,1027791,7,107,15,186,1649,7,120,876,0,0,0,0,3,703,19267,10517,8750,424,277,147,11751,4167,7584,1784,5148,11567,0,3,35899,5684,381,68,3,2,30,14,63,21,50,13
R32343,島根県,奥出雲町,11849,5705,6144,11759,5684,6075,1160,593,567,5341,2806,2535,5130,2230,2900,2888,1075,1813,89,50,257,222,314,4356,4341,11421,1925,1242,1352,679,654,16,7,36801,6105,627,41,0,2,69,71,0,7,13,173,8,10,10,65,39,15,41,12,51,4417,520,0,49,427,973,0,7,122,752,33,81,21,373,82,157,665,63,92,1246,387,117,86.9,14.8,15249476,1166186,14886695,2700631,1678749,891709,437892,0,0,10,102,478,2,36,257,0,0,0,0,1,200,6087,3412,2675,150,105,45,4156,1474,2682,1094,1726,3230,9,0,11430,1582,157,41,0,1,10,3,21,4,11,6
R32386,島根県,飯南町,4577,2157,2420,4535,2147,2388,463,245,218,1998,1030,968,2114,880,1234,1254,444,810,42,21,107,123,138,1769,1754,4280,852,529,564,317,324,6,7,24288,3210,297,35,0,0,31,29,1,1,11,69,1,2,9,20,21,2,19,7,39,1923,255,0,0,215,296,6,1,77,271,6,3,23,144,134,6,345,35,106,392,115,82,92.5,9.4,8815132,479137,8576871,1366992,895141,419678,797255,0,0,4,42,173,2,26,104,0,0,0,0,1,191,2466,1332,1134,47,36,11,1576,532,1044,512,459,1464,5,2,4600,674,60,13,0,1,6,1,11,4,5,4
R32441,島根県,川本町,3248,1556,1692,3229,1552,1677,320,160,160,1477,784,693,1433,605,828,836,300,536,19,14,57,120,119,1407,1396,2961,717,537,444,281,298,6,2,10643,1677,246,6,1,0,25,13,0,2,6,63,3,7,15,22,22,0,22,4,35,1498,87,2,0,212,101,0,2,112,263,18,8,35,71,57,0,417,13,100,130,94,49,84.3,9,5030656,319090,4895769,1018873,384180,429336,165453,0,0,1,15,131,1,11,58,0,0,0,0,1,219,1538,861,677,35,21,14,1325,501,824,201,277,1058,3,1,3093,840,50,17,0,1,2,2,8,6,5,3
R32448,島根県,美郷町,4355,2080,2275,4337,2074,2263,498,261,237,1772,937,835,2084,881,1203,1203,439,764,18,17,128,100,108,1844,1835,4153,956,633,624,367,442,11,3,28292,3164,273,17,0,0,32,17,3,0,8,54,2,6,6,12,24,3,27,12,50,1298,133,0,0,217,106,14,0,37,184,11,16,10,43,56,5,345,37,84,233,239,77,84.1,12.3,8460313,443173,8235195,1367878,544270,414557,190475,0,0,2,29,178,2,23,114,0,0,0,0,0,0,1985,1129,856,53,29,24,1804,652,1152,265,426,1292,9,1,4208,577,49,5,0,0,8,1,3,1,3,2
R32449,島根県,邑南町,10163,4874,5289,10063,4821,5242,1084,548,536,4478,2349,2129,4582,1967,2615,2666,1000,1666,84,46,227,178,236,3994,3958,9254,2097,1246,1262,770,781,17,12,41929,5688,582,33,0,1,69,41,1,3,20,148,4,8,26,54,42,6,66,19,41,3780,288,0,2,389,410,4,13,129,797,27,24,82,184,74,20,1185,50,102,918,487,138,90.3,14.1,13849247,970269,13586503,2788358,722661,1094870,240310,0,0,8,80,442,3,35,247,0,0,0,0,1,273,5290,2858,2432,106,73,33,3592,1348,2244,1064,913,3264,20,3,10034,1140,135,37,1,1,18,2,24,4,15,9
R32501,島根県,津和野町,6875,3221,3654,6823,3216,3607,593,310,283,2944,1528,1416,3337,1382,1955,1932,693,1239,52,32,149,167,227,3090,3084,6686,1548,1127,1014,610,734,10,10,30703,2664,395,21,0,1,42,26,0,1,13,107,6,10,8,50,31,7,28,10,34,2081,174,0,3,274,176,0,4,89,388,28,19,22,148,45,9,510,40,152,290,286,96,81.8,9.6,10852280,680225,10651253,1917195,992635,1071744,149032,0,0,4,45,243,2,27,129,0,0,0,0,1,195,3367,1830,1537,106,73,33,2689,952,1737,426,571,2297,12,2,6846,1676,94,35,0,1,7,3,11,5,11,3
R32505,島根県,吉賀町,6077,2944,3133,5855,2816,3039,573,282,291,2745,1494,1251,2720,1129,1591,1571,558,1013,221,37,119,124,150,2833,2822,5694,1412,1167,828,520,553,12,5,33650,2610,321,15,0,0,41,29,0,0,13,90,3,7,8,27,28,5,26,8,21,2406,129,0,0,213,557,0,0,167,343,14,12,12,106,55,16,642,34,106,444,258,80,81.6,7.1,8043792,513577,7763689,1816740,630748,636107,70793,0,0,5,46,214,3,35,107,0,0,0,0,1,98,3010,1688,1322,84,68,16,2256,796,1460,382,841,1767,6,1,5748,1753,78,17,0,1,6,2,11,3,10,4
R32525,島根県,海士町,2267,1113,1154,2255,1107,1148,244,123,121,1118,581,537,905,409,496,493,194,299,12,12,32,168,174,1068,1060,2119,530,455,313,206,179,9,0,3344,777,160,5,6,0,16,12,0,2,11,29,3,0,4,21,15,1,5,7,23,817,48,15,0,102,59,0,2,55,107,5,0,21,80,41,21,135,33,93,55,64,53,83.4,9.8,7118987,239231,6740946,723094,758462,412751,93002,0,0,2,23,121,1,12,48,0,0,0,0,1,164,1147,645,502,28,20,8,848,325,523,163,179,803,1,1,2275,103,27,13,0,0,2,1,2,1,0,1
R32526,島根県,西ノ島町,2788,1430,1358,2757,1407,1350,253,142,111,1246,706,540,1289,582,707,668,260,408,31,16,69,135,146,1415,1409,2672,711,631,447,290,305,7,0,5597,584,202,1,3,0,23,14,0,1,10,54,2,3,3,34,22,4,10,4,14,962,1,71,0,116,45,0,6,96,211,9,6,3,123,40,8,153,20,54,25,21,65,83.8,12.7,6434992,286758,6249638,796990,310604,250112,128399,0,0,1,13,107,1,13,46,0,0,0,0,0,0,1354,814,540,31,25,6,1150,449,701,213,192,949,2,1,2618,301,47,17,0,1,4,1,7,1,4,2
R32527,島根県,知夫村,634,323,311,631,321,310,69,28,41,281,158,123,284,137,147,151,67,84,3,2,10,35,58,350,340,608,145,180,87,65,93,3,1,1370,263,41,0,0,0,8,1,0,0,3,15,0,0,0,3,3,0,2,2,4,154,0,0,0,30,5,0,0,14,29,0,0,0,17,7,0,29,13,10,16,9,24,88.6,10.5,2457747,54397,2344486,225464,215586,82474,19896,0,0,1,7,22,1,8,12,0,0,0,0,0,0,305,187,118,5,4,1,255,104,151,52,35,217,1,0,614,13,14,1,0,0,1,1,1,2,0,1
